      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
  -121.11    38.85    1982   0.028   0.003  -0.034  -0.087  -0.092  -0.048  -0.027  -0.026  -0.026   0.019   0.002   0.002
  -121.11    38.85    1983   0.021   0.001  -0.029  -0.098  -0.116  -0.065  -0.065  -0.019   0.015   0.014   0.022   0.021
  -121.11    38.85    1984   0.025  -0.010  -0.036  -0.090  -0.080  -0.036   0.000   0.022   0.051   0.006   0.017   0.000
  -121.11    38.85    1985   0.027  -0.006  -0.038  -0.078  -0.078   0.011   0.030   0.057   0.006  -0.003   0.014   0.003
  -121.11    38.85    1986   0.050   0.020  -0.020  -0.053  -0.048   0.008   0.024   0.105   0.020   0.031   0.024   0.018
  -121.11    38.85    1987   0.039   0.011  -0.028  -0.047   0.006   0.024   0.037   0.144   0.124   0.047   0.021   0.013
  -121.11    38.85    1988   0.042  -0.002  -0.044  -0.058  -0.071  -0.029   0.024   0.073   0.071   0.065   0.033   0.018
  -121.11    38.85    1989   0.030   0.010  -0.020  -0.061  -0.081  -0.049  -0.010  -0.003  -0.023   0.036   0.028  -0.013
  -121.11    38.85    1990   0.030  -0.015  -0.046  -0.073  -0.095  -0.062   0.036   0.014   0.030   0.024   0.008   0.002
  -121.11    38.85    1991   0.033   0.019  -0.041  -0.113  -0.108  -0.057  -0.012   0.029   0.127   0.040   0.017   0.011
  -121.11    38.85    1992   0.044   0.015  -0.039  -0.076  -0.041  -0.011   0.014   0.100   0.135   0.039   0.019   0.010
  -121.11    38.85    1993   0.033   0.015  -0.025  -0.077  -0.088  -0.046  -0.008  -0.020   0.085   0.027   0.014   0.012
  -121.11    38.85    1994   0.048   0.008  -0.040  -0.085  -0.074  -0.026   0.008   0.102   0.085   0.066   0.006   0.012
  -121.11    38.85    1995   0.060   0.019  -0.019  -0.059  -0.060  -0.029   0.021   0.021   0.037   0.050   0.034   0.030
  -121.11    38.85    1996   0.040   0.015  -0.025  -0.056  -0.072  -0.038   0.053   0.054   0.044   0.032   0.034   0.030
  -121.11    38.85    1997   0.034  -0.001  -0.040  -0.071  -0.061  -0.059  -0.015   0.048   0.077   0.026   0.035   0.019
  -121.11    38.85    1998   0.044   0.018  -0.036  -0.084  -0.105  -0.092  -0.011   0.011  -0.024   0.014   0.026  -0.005
  -121.11    38.85    1999   0.036   0.012  -0.043  -0.092  -0.131  -0.056  -0.046   0.024   0.099   0.025   0.024   0.013
  -121.11    38.85    2000   0.052   0.011  -0.051  -0.089  -0.091  -0.023  -0.009   0.004   0.039   0.024   0.009   0.017
  -121.11    38.85    2001   0.049   0.010  -0.044  -0.105  -0.050   0.008  -0.021   0.052   0.078   0.035   0.035   0.027
  -121.11    38.85    2002   0.034   0.012  -0.046  -0.089  -0.100  -0.033   0.019   0.032   0.089   0.060   0.020   0.032
