      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.06    38.85    2008  -0.103   0.011   0.177   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08516
  -121.06    38.85    2009  -0.247   0.025   0.207   0.000  -0.009   0.000    0.000     0.000    0.000    0.000  -0.02449
  -121.06    38.85    2010  -0.326   0.033   0.187   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.10813
  -121.06    38.85    2011  -0.374   0.037   0.201   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13574
  -121.06    38.85    2012  -0.177   0.018   0.206   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.04675
  -121.06    38.85    2013  -0.195   0.020   0.206   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03071
  -121.06    38.85    2014  -0.180   0.018   0.200   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.03649
  -121.06    38.85    2015  -0.167   0.017   0.191   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04072
  -121.06    38.85    2016  -0.207   0.021   0.200   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.01336
  -121.06    38.85    2017  -0.311   0.031   0.190   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.09014
  -121.06    38.85    2018  -0.241   0.024   0.182   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.03661
  -121.06    38.85    2019  -0.340   0.034   0.195   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.11063
  -121.06    38.85    2020  -0.143   0.015   0.193   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06501
  -121.06    38.85    2021  -0.090   0.009   0.183   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10288
  -121.06    38.81    1979  -0.224   0.022   0.193   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.00852
  -121.06    38.81    1980  -0.329   0.033   0.176   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11995
  -121.06    38.81    1981  -0.135   0.014   0.201   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.07889
  -121.06    38.81    1982  -0.383   0.038   0.208   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13648
  -121.06    38.81    1983  -0.325   0.032   0.175   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11717
  -121.06    38.81    1984  -0.261   0.026   0.208   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.02747
  -121.06    38.81    1985  -0.208   0.021   0.184   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00349
  -121.06    38.81    1986  -0.239   0.024   0.196   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.01901
  -121.06    38.81    1987  -0.087   0.009   0.186   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.10794
  -121.06    38.81    1988  -0.162   0.016   0.206   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05973
  -121.06    38.81    1989  -0.290   0.029   0.192   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06894
  -121.06    38.81    1990  -0.197   0.020   0.244   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06626
  -121.06    38.81    1991  -0.168   0.017   0.238   0.000  -0.108   0.000    0.000     0.000    0.000    0.000  -0.02093
  -121.06    38.81    1992  -0.173   0.018   0.218   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06354
  -121.06    38.81    1993  -0.318   0.032   0.250   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03608
  -121.06    38.81    1994  -0.244   0.024   0.223   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.00340
  -121.06    38.81    1995  -0.340   0.034   0.246   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05984
