      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.11    38.85    1989  -0.372   0.037   0.294   0.000  -0.003   0.000    0.000     0.000    0.000    0.000  -0.04355
  -121.11    38.85    1990  -0.344   0.035   0.271   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03919
  -121.11    38.85    1991  -0.285   0.029   0.257   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.00050
  -121.11    38.85    1992  -0.158   0.016   0.262   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12047
  -121.11    38.85    1993  -0.298   0.030   0.259   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00928
  -121.11    38.85    1994  -0.178   0.018   0.232   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07257
  -121.11    38.85    1995  -0.243   0.024   0.297   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07740
  -121.11    38.85    1996  -0.214   0.021   0.270   0.000  -0.093   0.000    0.000     0.000    0.000    0.000  -0.01578
  -121.11    38.85    1997  -0.223   0.023   0.219   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01834
  -121.11    38.85    1998  -0.373   0.037   0.251   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.08428
  -121.11    38.85    1999  -0.295   0.030   0.229   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03738
  -121.11    38.85    2000  -0.310   0.031   0.256   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02240
  -121.11    38.85    2001  -0.236   0.024   0.273   0.182  -0.000   0.000    0.000     0.000    0.000    0.000   0.24169
  -121.11    38.85    2002  -0.232   0.023   0.247   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.03800
  -121.11    38.85    2003  -0.232   0.023   0.255   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04651
  -121.11    38.85    2004  -0.144   0.015   0.295   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.16524
  -121.11    38.85    2005  -0.247   0.025   0.290   0.000  -0.104   0.000    0.000     0.000    0.000    0.000  -0.03677
  -121.11    38.85    2006  -0.281   0.029   0.254   0.000  -0.022   0.000    0.000     0.000    0.000    0.000  -0.01924
  -121.11    38.85    2007  -0.316   0.032   0.263   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02079
  -121.11    38.85    2008  -0.254   0.025   0.245   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01613
  -121.11    38.85    2009  -0.266   0.027   0.274   0.000  -0.006   0.000    0.000     0.000    0.000    0.000   0.02885
  -121.11    38.85    2010  -0.372   0.037   0.262   0.000  -0.006   0.000    0.000     0.000    0.000    0.000  -0.07944
  -121.11    38.85    2011  -0.395   0.039   0.254   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.10176
  -121.11    38.85    2012  -0.191   0.020   0.260   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08850
  -121.11    38.85    2013  -0.187   0.019   0.250   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08163
  -121.11    38.85    2014  -0.223   0.022   0.257   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05634
  -121.11    38.85    2015  -0.214   0.021   0.238   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04529
  -121.11    38.85    2016  -0.259   0.026   0.252   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01889
  -121.11    38.85    2017  -0.335   0.034   0.256   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04567
  -121.11    38.85    2018  -0.294   0.029   0.238   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.02636
  -121.11    38.85    2019  -0.329   0.033   0.243   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05371
  -121.11    38.85    2020  -0.184   0.019   0.248   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08241
  -121.11    38.85    2021  -0.139   0.014   0.229   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10398
  -121.11    38.81    1979  -0.205   0.021   0.237   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05232
  -121.11    38.81    1980  -0.266   0.027   0.190   0.000  -0.108   0.000    0.000     0.000    0.000    0.000  -0.15733
  -121.11    38.81    1981  -0.137   0.015   0.178   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05650
  -121.11    38.81    1982  -0.391   0.039   0.259   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.09301
  -121.11    38.81    1983  -0.372   0.037   0.202   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13286
  -121.11    38.81    1984  -0.314   0.031   0.215   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06763
  -121.11    38.81    1985  -0.208   0.021   0.249   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.06104
  -121.11    38.81    1986  -0.241   0.024   0.230   0.000  -0.105   0.000    0.000     0.000    0.000    0.000  -0.09179
  -121.11    38.81    1987  -0.128   0.015   0.193   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07952
  -121.11    38.81    1988  -0.212   0.021   0.250   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05926
  -121.11    38.81    1989  -0.368   0.037   0.253   0.000  -0.003   0.000    0.000     0.000    0.000    0.000  -0.08141
  -121.11    38.81    1990  -0.262   0.026   0.217   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.01865
  -121.11    38.81    1991  -0.233   0.023   0.292   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.08274
  -121.11    38.81    1992  -0.162   0.016   0.297   0.000  -0.096   0.000    0.000     0.000    0.000    0.000   0.05476
  -121.11    38.81    1993  -0.355   0.036   0.257   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06190
  -121.11    38.81    1994  -0.215   0.022   0.254   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06078
  -121.11    38.81    1995  -0.360   0.036   0.308   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01593
  -121.11    38.81    1996  -0.300   0.030   0.282   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.01174
  -121.11    38.81    1997  -0.197   0.020   0.327   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.14984
  -121.11    38.81    1998  -0.261   0.026   0.261   0.000  -0.098   0.000    0.000     0.000    0.000    0.000  -0.07220
  -121.11    38.81    1999  -0.281   0.029   0.216   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03600
  -121.11    38.81    2000  -0.314   0.032   0.280   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.00327
  -121.11    38.81    2001  -0.286   0.029   0.274   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.01693
  -121.11    38.81    2002  -0.296   0.030   0.258   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00867
  -121.11    38.81    2003  -0.258   0.026   0.256   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02377
  -121.11    38.81    2004  -0.174   0.017   0.235   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07833
  -121.11    38.81    2005  -0.310   0.031   0.264   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01511
  -121.11    38.81    2006  -0.286   0.029   0.251   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00648
  -121.11    38.81    2007  -0.222   0.022   0.218   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01853
  -121.11    38.81    2008  -0.078   0.009   0.197   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.12835
  -121.11    38.81    2009  -0.239   0.024   0.236   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02130
  -121.11    38.81    2010  -0.369   0.037   0.237   0.000  -0.006   0.000    0.000     0.000    0.000    0.000  -0.10125
  -121.11    38.81    2011  -0.360   0.036   0.236   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.08870
  -121.11    38.81    2012  -0.256   0.026   0.249   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01839
  -121.11    38.81    2013  -0.237   0.024   0.222   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00886
  -121.11    38.81    2014  -0.172   0.017   0.294   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.13904
  -121.11    38.81    2015  -0.179   0.018   0.275   0.000  -0.108   0.000    0.000     0.000    0.000    0.000   0.00549
  -121.11    38.81    2016  -0.283   0.029   0.265   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01136
  -121.11    38.81    2017  -0.365   0.037   0.298   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03014
  -121.11    38.81    2018  -0.363   0.036   0.275   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.05225
  -121.11    38.81    2019  -0.359   0.036   0.278   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04502
  -121.11    38.81    2020  -0.128   0.014   0.242   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.12797
  -121.11    38.81    2021  -0.135   0.014   0.257   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.13556
  -121.11    38.77    1979  -0.188   0.019   0.172   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.00338
  -121.11    38.77    1980  -0.305   0.030   0.159   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11506
  -121.11    38.77    1981  -0.120   0.012   0.171   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06352
  -121.11    38.77    1982  -0.372   0.037   0.181   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.15362
  -121.11    38.77    1983  -0.350   0.035   0.164   0.019   0.000   0.000    0.000     0.000    0.000    0.000  -0.13234
  -121.11    38.77    1984  -0.226   0.023   0.191   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01219
  -121.11    38.77    1985  -0.164   0.016   0.174   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.02645
  -121.11    38.77    1986  -0.251   0.025   0.188   0.000  -0.006   0.000    0.000     0.000    0.000    0.000  -0.04411
  -121.11    38.77    1987  -0.080   0.008   0.178   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10629
  -121.11    38.77    1988  -0.108   0.011   0.191   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.09349
  -121.11    38.77    1989  -0.267   0.027   0.179   0.000  -0.008   0.000    0.000     0.000    0.000    0.000  -0.06861
  -121.11    38.77    1990  -0.238   0.024   0.166   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.04764
  -121.11    38.77    1991  -0.202   0.020   0.176   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00581
  -121.11    38.77    1992  -0.143   0.014   0.195   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06599
  -121.11    38.77    1993  -0.261   0.026   0.186   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.04946
  -121.11    38.77    1994  -0.155   0.015   0.174   0.019   0.000   0.000    0.000     0.000    0.000    0.000   0.05393
  -121.11    38.77    1995  -0.217   0.022   0.227   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.03205
  -121.11    38.77    1996  -0.193   0.019   0.218   0.000  -0.092   0.000    0.000     0.000    0.000    0.000  -0.04809
  -121.11    38.77    1997  -0.188   0.019   0.186   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01764
  -121.11    38.77    1998  -0.312   0.031   0.249   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03180
  -121.11    38.77    1999  -0.215   0.021   0.234   0.000  -0.108   0.000    0.000     0.000    0.000    0.000  -0.06791
  -121.11    38.77    2000  -0.269   0.028   0.227   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01445
  -121.11    38.77    2001  -0.245   0.025   0.262   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04104
  -121.11    38.77    2002  -0.265   0.026   0.233   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00526
  -121.11    38.77    2003  -0.240   0.024   0.233   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01747
  -121.11    38.77    2004  -0.127   0.013   0.223   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10862
  -121.11    38.77    2005  -0.346   0.035   0.232   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.07913
  -121.11    38.77    2006  -0.255   0.025   0.222   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00754
  -121.11    38.77    2007  -0.147   0.015   0.205   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07257
  -121.11    38.77    2008  -0.072   0.008   0.195   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.13025
  -121.11    38.77    2009  -0.217   0.022   0.208   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.00797
  -121.11    38.77    2010  -0.343   0.034   0.194   0.000  -0.014   0.000    0.000     0.000    0.000    0.000  -0.12979
  -121.11    38.77    2011  -0.355   0.035   0.193   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.12635
  -121.11    38.77    2012  -0.133   0.014   0.222   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10224
  -121.11    38.77    2013  -0.179   0.018   0.212   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.05166
  -121.11    38.77    2014  -0.196   0.020   0.200   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.02110
  -121.11    38.77    2015  -0.188   0.019   0.194   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.02453
  -121.11    38.77    2016  -0.200   0.020   0.196   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01591
  -121.11    38.77    2017  -0.343   0.034   0.197   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.11143
  -121.11    38.77    2018  -0.207   0.021   0.239   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.05275
  -121.11    38.77    2019  -0.247   0.025   0.244   0.000  -0.110   0.000    0.000     0.000    0.000    0.000  -0.08894
  -121.11    38.77    2020  -0.163   0.018   0.215   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.06942
  -121.11    38.77    2021  -0.189   0.019   0.247   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.07635
  -121.11    38.73    1979  -0.164   0.016   0.189   0.000  -0.005   0.000    0.000     0.000    0.000    0.000   0.03656
  -121.11    38.73    1980  -0.278   0.028   0.150   0.000  -0.002   0.000    0.000     0.000    0.000    0.000  -0.10115
