      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est    Seed  HarvestPrescribed    LU_ch   Slow_h       NEE
  -121.06    38.77    2004  -0.482   0.048   0.477   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.04389
  -121.06    38.77    2005  -0.597   0.060   0.546   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00932
  -121.06    38.77    2006  -0.569   0.057   0.524   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.01145
  -121.06    38.77    2007  -0.558   0.056   0.463   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.03944
  -121.06    38.77    2008  -0.181   0.022   0.404   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.24455
  -121.06    38.77    2009  -0.484   0.048   0.464   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.02794
  -121.06    38.77    2010  -0.729   0.073   0.488   0.000  -0.007   0.000    0.000     0.000    0.000    0.000  -0.17534
  -121.06    38.77    2011  -0.694   0.069   0.494   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.13067
  -121.06    38.77    2012  -0.440   0.044   0.638   0.000  -0.001   0.000    0.000     0.000    0.000    0.000   0.24143
  -121.06    38.77    2013  -0.384   0.038   0.509   0.000  -0.225   0.000    0.000     0.000    0.000    0.000  -0.06127
  -121.06    38.77    2014  -0.527   0.055   0.477   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.00508
  -121.06    38.77    2015  -0.636   0.064   0.562   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.00998
  -121.06    38.77    2016  -0.680   0.068   0.549   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06211
  -121.06    38.77    2017  -0.699   0.070   0.547   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.08206
  -121.06    38.77    2018  -0.613   0.061   0.519   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.03182
  -121.06    38.77    2019  -0.644   0.064   0.516   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.06398
  -121.06    38.77    2020  -0.255   0.027   0.578   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.34987
  -121.06    38.77    2021  -0.207   0.021   0.513   0.000  -0.220   0.000    0.000     0.000    0.000    0.000   0.10767
  -121.06    38.73    1979  -0.357   0.036   0.500   0.000  -0.210   0.000    0.000     0.000    0.000    0.000  -0.03092
  -121.06    38.73    1980  -0.668   0.069   0.360   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.23975
  -121.06    38.73    1981  -0.411   0.041   0.488   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.11735
  -121.06    38.73    1982  -0.770   0.077   0.491   0.000  -0.013   0.000    0.000     0.000    0.000    0.000  -0.21537
  -121.06    38.73    1983  -0.735   0.073   0.430   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.23163
  -121.06    38.73    1984  -0.503   0.050   0.465   0.000  -0.002   0.000    0.000     0.000    0.000    0.000   0.01026
  -121.06    38.73    1985  -0.426   0.043   0.460   0.499  -0.001   0.000    0.000     0.000    0.000    0.000   0.57491
  -121.06    38.73    1986  -0.533   0.053   0.467   0.000   0.000   0.000    0.000     0.000    0.000    0.000  -0.01267
  -121.06    38.73    1987  -0.171   0.020   0.474   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.32207
  -121.06    38.73    1988  -0.232   0.024   0.498   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.28919
  -121.06    38.73    1989  -0.546   0.055   0.486   0.000  -0.017   0.000    0.000     0.000    0.000    0.000  -0.02219
  -121.06    38.73    1990  -0.407   0.041   0.435   0.000  -0.077   0.000    0.000     0.000    0.000    0.000  -0.00801
  -121.06    38.73    1991  -0.448   0.045   0.459   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.05620
  -121.06    38.73    1992  -0.318   0.032   0.440   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.15372
  -121.06    38.73    1993  -0.489   0.049   0.474   0.000  -0.004   0.000    0.000     0.000    0.000    0.000   0.02937
  -121.06    38.73    1994  -0.246   0.024   0.421   0.024  -0.104   0.000    0.000     0.000    0.000    0.000   0.11977
  -121.06    38.73    1995  -0.515   0.052   0.428   0.000  -0.002   0.000    0.000     0.000    0.000    0.000  -0.03628
  -121.06    38.73    1996  -0.548   0.055   0.474   0.000  -0.001   0.000    0.000     0.000    0.000    0.000  -0.01953
  -121.06    38.73    1997  -0.359   0.036   0.424   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.10126
  -121.06    38.73    1998  -0.678   0.068   0.455   0.000  -0.000   0.000    0.000     0.000    0.000    0.000  -0.15562
  -121.06    38.73    1999  -0.333   0.033   0.429   0.153  -0.110   0.000    0.000     0.000    0.000    0.000   0.17215
  -121.06    38.73    2000  -0.429   0.044   0.449   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.06379
  -121.06    38.73    2001  -0.416   0.042   0.460   0.000   0.000   0.000    0.000     0.000    0.000    0.000   0.08599
  -121.06    38.73    2002  -0.401   0.040   0.468   0.000  -0.000   0.000    0.000     0.000    0.000    0.000   0.10635
