      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
  -121.11    38.85    1987  10.857  14.629   5.565   5.678   4.324   1.799   0.380   0.006   0.000   0.179   2.811   7.825
  -121.11    38.85    1988  22.984  18.190   8.722   8.259   9.983   5.425   1.492   0.063   0.001   0.001   4.400  17.699
  -121.11    38.85    1989  32.776  28.813  18.996  16.339  14.345   8.369   3.271   0.581   0.873  10.553  15.554  14.387
  -121.11    38.85    1990  22.076  30.402  11.652   6.693   8.499   8.388   3.855   0.877   0.040   0.038   0.433   1.286
  -121.11    38.85    1991   3.067   4.106   6.514   9.342   8.268   5.105   2.084   0.277   0.000   2.006   4.164   6.069
  -121.11    38.85    1992  15.249  24.461   8.034   7.861   7.748   3.659   1.485   0.148   0.000   1.182   2.706   7.390
  -121.11    38.85    1993  30.948  34.042  16.407  10.697  10.990   8.600   4.056   0.821   0.027   0.191   3.193   9.093
  -121.11    38.85    1994  15.881  22.795   9.959   5.995   6.225   3.513   1.095   0.065   0.000   0.000   0.834   3.570
  -121.11    38.85    1995  22.887  24.956   8.549  10.810  11.460  10.287   6.808   1.926   0.427   0.356   0.243   5.906
  -121.11    38.85    1996  25.923  26.938   6.994   6.749   8.312   8.431   4.498   1.330   0.184   1.041   8.512  20.452
  -121.11    38.85    1997  32.795  29.928   6.726   4.314   4.321   2.118   0.527   0.012   0.000   0.738   7.925  17.070
  -121.11    38.85    1998  24.513  26.488  14.454   7.403   8.663   9.493   6.784   2.768   0.639   2.821  10.043  14.917
  -121.11    38.85    1999  26.635  31.792  21.399   4.566   4.888   2.770   0.889   0.073   0.000   0.066   1.998   3.705
  -121.11    38.85    2000  18.384  25.435   8.554   6.832   7.544   6.161   2.745   0.558   0.013   4.017   7.360   7.758
  -121.11    38.85    2001  20.091  35.581  19.299  10.154  11.738   5.866   1.969   0.200   0.000   0.084   3.744  18.447
  -121.11    38.85    2002  34.496  36.041  14.522   9.102  10.573   7.849   3.260   0.543   0.004   0.000   0.023   7.671
  -121.11    38.85    2003  35.120  27.336  12.070  11.284  14.747   9.367   3.652   0.641   0.017   0.002   0.193   6.150
  -121.11    38.85    2004  23.494  35.287  16.284   8.076   5.881   2.142   0.281   0.000   0.000   4.653  14.432  23.481
  -121.11    38.85    2005  31.825  31.050  10.487   8.804  10.218   9.864   6.940   2.466   0.538   0.902   1.776  17.680
  -121.11    38.85    2006  29.495  27.392  18.172  24.672  23.076  11.385   6.255   3.143   1.590   0.833   0.867   5.070
  -121.11    38.85    2007  11.451  23.946  15.778  10.847  11.955   7.491   4.647   3.134   1.937   2.333   3.381   5.178
  -121.11    38.85    2008  18.759  28.493   8.708   1.668   1.286   0.448   0.032   0.000   0.000   0.023   0.039   1.324
  -121.11    38.85    2009   8.676  18.436  10.045   6.544   6.470   3.185   0.938   0.116   0.016   0.890   2.252   4.660
  -121.11    38.85    2010  18.869  14.875   1.648   0.000   0.000   0.000   0.000   0.000   0.000   2.110   7.852  12.312
  -121.11    38.85    2011  23.774  19.498   2.865   0.000   0.000   0.000   0.000   0.000   0.000   0.077   0.266   0.298
  -121.11    38.85    2012   3.712   3.584   0.056   0.000   0.000   0.000   0.000   0.000   0.000   0.330   9.481  12.163
  -121.11    38.85    2013  28.348  24.410   4.594   0.834   0.610   0.333   0.063   0.000   0.001   0.003   0.348   0.627
  -121.11    38.85    2014   0.813   3.789   1.825   2.357   1.959   0.831   0.140   0.000   0.018   1.045   3.413  12.383
  -121.11    38.85    2015  26.698  10.153   2.923   3.289   2.827   1.367   0.280   0.001   0.001   0.002   0.297   2.689
  -121.11    38.85    2016  22.269  13.352   4.825   6.655   5.932   3.475   1.160   0.095   0.000   7.931  21.705  19.929
  -121.11    38.85    2017  28.847  22.298   8.179   9.213  10.799   6.336   3.262   0.993   0.082   0.028   4.851  12.045
  -121.11    38.85    2018  20.124  10.616   0.058   0.000   0.000   0.000   0.000   0.000   0.351   0.444   4.325  10.517
  -121.11    38.85    2019  31.168  27.017  18.727   7.057   8.614   8.536   4.574   1.322   0.247   0.957   1.303   3.510
  -121.11    38.85    2020   8.749   6.586   0.364   0.688   0.673   0.402   0.138   0.009   0.000   0.000   0.606   3.287
  -121.11    38.85    2021  15.786  23.392   9.790   8.055   5.955   2.087   0.257   0.001   0.000  13.183  32.092  21.805
  -121.11    38.81    1979   8.480  19.958  20.270  19.026  19.300  11.511   4.898   1.179   0.126   1.130   4.258   9.096
  -121.11    38.81    1980  23.574  11.501   1.899   2.348   2.518   1.977   1.125   0.332   2.411   2.542   1.567   1.395
  -121.11    38.81    1981   5.264   5.175   0.068   0.000   0.000   0.000   0.000   0.000   0.031   0.744   8.421  13.912
  -121.11    38.81    1982  32.473  31.845  16.189  17.317  20.618  12.944   8.019   2.993   2.935  15.073  21.412  22.621
  -121.11    38.81    1983  26.393  15.681   3.259   4.178   5.582   4.141   2.730   1.219   1.863   3.879   8.429  14.769
  -121.11    38.81    1984  29.416  17.859   4.906   4.589   5.366   3.473   1.775   0.524   0.120   0.703   3.537  10.657
  -121.11    38.81    1985  16.444  16.229   4.012   2.669   2.224   1.352   0.532   0.092   0.003   0.099   2.948   9.032
  -121.11    38.81    1986  16.349   8.068   3.353   4.146   4.510   2.993   1.549   0.490   1.696   2.596   1.740   1.727
  -121.11    38.81    1987   4.976   6.552   3.136   4.181   3.305   1.818   0.755   0.150   0.002   0.051   0.905   2.821
  -121.11    38.81    1988  10.981   9.110   3.146   3.034   3.283   1.768   0.505   0.035   0.000   0.000   1.257   6.146
  -121.11    38.81    1989  16.579  17.538  18.833  19.342  17.756  10.673   4.620   0.950   0.441   4.792   8.152   7.124
  -121.11    38.81    1990  10.929  13.550   1.790   0.000   0.000   0.000   0.000   0.000   0.402   2.352   1.505   1.615
  -121.11    38.81    1991   3.513   3.312   2.017   3.203   3.201   2.210   1.310   0.419   0.155   0.856   1.577   2.489
  -121.11    38.81    1992   6.156   9.810   4.364   5.167   5.126   2.904   1.680   0.558   0.095   0.625   0.933   2.429
  -121.11    38.81    1993  18.999  27.195   8.572   5.123   5.695   4.752   2.868   1.061   0.252   0.429   1.592   3.317
  -121.11    38.81    1994   7.509   8.776   4.021   2.994   2.944   2.023   0.883   0.173   0.002   0.001   0.171   0.965
  -121.11    38.81    1995  14.838  16.732   3.582   4.733   5.495   5.037   3.699   1.527   5.091   5.624   2.702   6.033
  -121.11    38.81    1996  21.340  21.950  19.989  20.233  21.549  17.820  11.017   5.879   3.322   3.664   5.743  15.755
  -121.11    38.81    1997  27.652  22.136   7.354   7.762   9.042   7.204   5.524   3.608   2.381   1.983   4.107   6.946
  -121.11    38.81    1998  14.339  11.118   0.818   0.000   0.000   0.000   0.000   0.000   1.410   6.444   5.679   6.943
  -121.11    38.81    1999  16.958  20.548  11.871   4.743   5.060   3.262   1.502   0.411   0.048   0.023   0.357   0.936
  -121.11    38.81    2000   6.333  10.913   4.795   4.951   5.474   4.197   2.313   0.824   0.287   1.644   3.259   3.303
  -121.11    38.81    2001   9.303  18.254   9.486   5.365   6.296   3.567   1.802   0.566   0.071   0.063   1.206   7.225
  -121.11    38.81    2002  21.573  21.449   2.854   0.000   0.000   0.000   0.000   0.000   0.212   2.287   1.212   4.137
  -121.11    38.81    2003  21.118  15.501   1.760   0.628   0.936   0.759   0.440   0.160   0.197   0.360   0.268   2.109
  -121.11    38.81    2004   9.550  14.897   5.127   1.365   0.914   0.359   0.051   0.000   0.000   1.858   4.838   8.064
  -121.11    38.81    2005  22.736  25.725   5.776   5.251   5.827   5.656   4.267   1.771   1.202   2.607   2.191   9.552
  -121.11    38.81    2006  25.780  20.220   5.112   4.387   6.131   5.048   3.483   1.403   0.594   0.842   0.667   1.742
  -121.11    38.81    2007   5.340  11.355   4.569   0.915   0.899   0.452   0.141   0.008   0.000   0.242   0.627   1.409
  -121.11    38.81    2008   9.228  17.043   4.795   0.791   0.529   0.203   0.021   0.000   0.000   0.006   0.014   0.423
  -121.11    38.81    2009   4.163   9.101   7.717   5.639   5.067   2.565   0.791   0.077   0.000   0.440   1.236   2.820
  -121.11    38.81    2010  12.638  15.036   6.980   7.813   9.887   7.995   4.179   1.315   0.435   2.130   6.254  14.107
  -121.11    38.81    2011  26.170  18.269   4.517   1.630   2.030   2.189   1.788   0.900   0.298   1.579   1.287   1.105
  -121.11    38.81    2012   3.906   3.885   0.867   2.064   2.314   0.986   0.195   0.001   0.099   0.571   5.667  12.744
  -121.11    38.81    2013  28.200  23.793   2.922   0.127   0.113   0.072   0.037   0.007   0.000   0.001   0.182   0.303
  -121.11    38.81    2014   0.437   1.294   0.902   1.265   1.065   0.597   0.207   0.023   0.006   0.462   1.331   7.250
  -121.11    38.81    2015  20.951  10.334   1.842   2.014   1.738   1.018   0.360   0.043   0.000   0.005   0.106   1.164
  -121.11    38.81    2016   8.502   9.611   2.785   4.372   4.355   2.876   1.551   0.501   0.216   5.724  13.246  16.217
  -121.11    38.81    2017  30.455  24.601   7.194   7.670  10.010   7.565   5.247   2.171   1.052   1.785   4.889  10.303
  -121.11    38.81    2018  17.605  16.845   4.159   4.305   4.992   3.724   2.109   0.771   0.461   0.618   3.028   8.078
  -121.11    38.81    2019  26.303  30.221  15.246   5.663   6.782   7.253   4.632   1.927   0.613   4.570   3.539   4.503
  -121.11    38.81    2020   9.050   7.186   1.113   1.995   2.082   1.456   0.817   0.111   0.000   0.000   0.356   1.678
  -121.11    38.81    2021   7.468  14.810   6.092   5.177   3.380   1.097   0.168   0.002   0.000  11.940  18.052  18.738
  -121.11    38.77    1979  19.425  28.186  18.401  13.048  10.959   4.750   0.788   0.047   0.000   3.145   7.551  17.860
  -121.11    38.77    1980  26.364  14.940   7.068   7.377   6.166   3.030   0.816   0.007   0.000   0.015   0.026   0.088
  -121.11    38.77    1981   7.389   8.186   4.761   6.200   4.307   1.405   0.055   0.000   0.002   1.663  11.746  14.805
  -121.11    38.77    1982  31.435  33.215  19.879  21.597  20.987   9.236   3.181   0.292   0.659  11.683  27.633  22.471
  -121.11    38.77    1983  25.509  17.478   5.011   6.194   7.203   3.874   1.390   0.187   0.007   0.536  15.146  15.478
  -121.11    38.77    1984  28.112  18.588   3.599   2.416   2.359   1.094   0.159   0.000   0.000   1.256  15.069  21.335
  -121.11    38.77    1985  26.044  26.351   7.523   5.502   4.034   1.222   0.043   0.000   0.008   0.322   6.491  25.257
  -121.11    38.77    1986  27.211  10.524   3.669   3.909   3.312   1.489   0.196   0.000   1.238   2.957   2.068   2.477
  -121.11    38.77    1987   8.253  12.037   0.399   0.000   0.000   0.000   0.000   0.000   0.000   0.097   2.062   6.885
  -121.11    38.77    1988  23.713  15.543   2.834   3.271   3.094   1.047   0.052   0.000   0.000   0.000   3.583  13.346
  -121.11    38.77    1989  30.465  25.287  20.360  14.719  10.147   3.847   0.476   0.003   0.126   8.590  13.543  13.345
  -121.11    38.77    1990  24.348  28.084   9.395   5.071   5.857   4.502   1.191   0.048   0.000   0.045   0.316   1.168
  -121.11    38.77    1991   3.307   3.605   4.026   5.639   4.276   1.958   0.372   0.000   0.000   1.633   3.697   6.203
  -121.11    38.77    1992  13.492  17.738   6.385   6.879   5.309   1.665   0.201   0.000   0.000   1.205   2.120   6.390
  -121.11    38.77    1993  26.374  28.304  12.147   7.492   7.139   5.262   1.808   0.044   0.000   0.081   2.803   7.045
  -121.11    38.77    1994  15.763  18.189   6.651   4.082   3.756   1.589   0.102   0.000   0.001   0.000   0.658   3.300
  -121.11    38.77    1995  22.339  18.163   5.248   7.112   7.575   5.970   3.691   0.493   0.000   0.000   0.001   3.986
  -121.11    38.77    1996  26.372  20.805   5.254   5.440   6.281   5.606   2.385   0.225   0.000   0.625   6.109  18.563
  -121.11    38.77    1997  30.187  24.971   4.797   3.512   2.979   0.930   0.021   0.000   0.001   0.371   8.820  17.296
  -121.11    38.77    1998  22.507  21.562   9.691   7.428   8.493   8.565   4.846   1.418   0.082   0.114   4.249   9.950
  -121.11    38.77    1999  20.540  23.972   9.224   1.298   1.228   0.494   0.033   0.000   0.000   0.031   1.589   2.590
  -121.11    38.77    2000  15.646  17.885   2.680   1.856   2.028   1.488   0.343   0.003   0.000   3.973   8.121   8.148
  -121.11    38.77    2001  22.344  28.662   9.007   2.093   2.397   1.097   0.157   0.000   0.000   0.030   3.944  15.145
  -121.11    38.77    2002  30.396  32.470  22.570  16.526  14.891   9.442   4.402   2.049   1.067   0.549   0.386   9.583
  -121.11    38.77    2003  25.363  16.390   6.108   6.716   9.311   7.065   4.655   3.031   2.109   1.422   0.823   4.672
  -121.11    38.77    2004  18.052  20.610   5.935   2.333   1.410   0.213   0.000   0.000   0.000   3.924   8.432  14.006
  -121.11    38.77    2005  24.362  21.308   6.655   6.428   7.261   6.593   3.931   1.061   0.119   0.108   0.500  11.408
  -121.11    38.77    2006  26.864  24.674  17.877  25.819  21.817   9.625   4.822   2.188   1.089   0.572   0.666   3.938
  -121.11    38.77    2007  10.357  21.612  23.440  17.320  17.453  10.200   6.918   4.461   2.708   3.586   4.943   7.446
  -121.11    38.77    2008  18.716  18.304   6.240   4.025   4.380   3.922   3.253   2.283   1.422   1.076   0.637   1.267
  -121.11    38.77    2009   8.014  11.354   6.238   3.815   3.494   1.596   0.431   0.025   0.001   0.437   1.859   5.079
  -121.11    38.77    2010  14.731  10.300   1.202   0.929   1.111   0.954   0.493   0.133   0.023   1.682   5.759   8.826
  -121.11    38.77    2011  17.391  11.193   0.717   0.000   0.000   0.000   0.000   0.000   0.000   0.030   0.174   0.165
  -121.11    38.77    2012   2.878   2.046   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.227   7.944   9.192
  -121.11    38.77    2013  24.606  21.819   5.877   2.688   1.609   0.729   0.126   0.000   0.001   0.001   0.319   0.654
  -121.11    38.77    2014   0.809   6.232   7.032   8.070   5.373   1.230   0.021   0.000   0.016   0.734   3.178  13.585
  -121.11    38.77    2015  22.854  11.553   4.468   4.652   3.252   1.009   0.052   0.000   0.000   0.001   0.080   2.681
  -121.11    38.77    2016  16.834  12.984   4.820   6.645   6.074   3.090   0.720   0.057   0.000   8.402  19.950  15.903
  -121.11    38.77    2017  23.012  16.864   4.822   5.055   5.586   2.931   1.217   0.183   0.073   0.156   3.917  10.596
  -121.11    38.77    2018  20.761  14.101   3.407   3.512   3.622   1.924   0.382   0.001   0.000   0.000   2.811  10.355
  -121.11    38.77    2019  25.352  21.035  11.017   3.985   4.756   5.010   2.008   0.214   0.001   0.000   0.340   1.853
  -121.11    38.77    2020   6.674   7.292   1.969   4.670   4.178   1.681   0.146   0.000   0.000   0.000   0.882   3.269
  -121.11    38.77    2021  18.607  25.657  16.144  14.275  10.666   3.121   0.457   0.026   0.000  24.822  31.251  21.038
  -121.11    38.73    1979  23.708  32.244  49.939  39.098  19.698   2.091   0.009   0.000   0.000   9.118  16.682  23.011
  -121.11    38.73    1980  23.593  27.563  39.841  30.066  16.002   2.392   0.005   0.000   0.000   0.012   0.025   0.264
  -121.11    38.73    1981  13.927  16.722  24.934  22.352   9.300   0.737   0.000   0.000   0.008   2.345  15.599  12.415
  -121.11    38.73    1982  21.333  25.313  32.530  41.391  20.314   1.404   0.001   0.000   4.527  26.005  20.723  16.299
  -121.11    38.73    1983  15.716  15.505  16.763  23.652  17.187   2.237   0.003   0.001   0.145   0.751  12.609  10.509
  -121.11    38.73    1984  13.238  12.297  13.454  10.511   4.508   0.104   0.000   0.000   0.000   1.623   9.124  10.501
  -121.11    38.73    1985  16.777  19.835  25.012  20.142   5.537   0.701   0.040   0.002   0.333   1.307  14.249  17.253
  -121.11    38.73    1986  22.891  26.378  40.183  28.593  10.525   2.315   1.057   0.524   4.197   4.697   2.294   3.334
  -121.11    38.73    1987  10.405  16.293  16.272  14.985   6.113   2.616   1.834   1.219   0.754   0.821   2.989   9.424
  -121.11    38.73    1988  18.543  14.257   8.733  10.719  13.348   1.832   0.000   0.000   0.000   0.000   5.106  10.509
  -121.11    38.73    1989  19.698  19.510  28.514  26.091   7.965   0.531   0.001   0.003   2.220  16.303  18.956  13.813
  -121.11    38.73    1990  19.050  22.141  19.200  14.953  17.318   9.246   0.166   0.000   0.000   0.013   0.715   1.614
  -121.11    38.73    1991   4.387   8.427  18.869  17.012   7.074   0.706   0.000   0.002   0.000   2.605   5.408   7.783
  -121.11    38.73    1992  19.642  26.030  35.429  27.634  10.992   3.386   2.351   0.984   0.455   5.511   4.938  10.426
  -121.11    38.73    1993  20.911  20.229  25.506  21.751  15.697   9.069   3.351   1.880   1.195   0.966   5.566  13.469
  -121.11    38.73    1994  17.834  16.852  16.527  13.529  11.243   1.663   0.000   0.000   0.004   0.000   1.526   6.425
  -121.11    38.73    1995  18.419  17.013  25.763  32.210  27.181  11.796   2.900   0.000   0.000   0.000   0.001  10.681
  -121.11    38.73    1996  20.445  19.779  28.213  23.062  27.597  10.885   0.297   0.000   0.000   1.160  10.772  17.613
  -121.11    38.73    1997  22.864  18.763  13.546   8.897   2.961   0.016   0.000   0.004   0.001   1.110  11.738  17.715
  -121.11    38.73    1998  19.011  19.531  28.673  35.171  39.911  19.041   2.177   0.000   0.005   0.330  12.512  17.482
  -121.11    38.73    1999  18.663  17.309  13.577  11.399   4.829   0.105   0.000   0.000   0.000   0.025   2.045   5.467
  -121.11    38.73    2000  16.862  15.281  17.737  14.056  16.105   5.883   0.050   0.000   0.000  11.997  16.046  11.596
  -121.11    38.73    2001  21.328  24.363  21.912  25.060  15.224   1.114   0.000   0.000   0.004   0.087  11.023  18.129
